,disease,inform_slots
428,Complex regional pain syndrome,"['problems with movement', 'abnormal involuntary movements', 'neck pain', 'hand or finger pain','paresthesia', 'loss of sensation']"
429,Complex regional pain syndrome,"['neck pain', 'back pain', 'foot or toe pain', 'ache all over', 'paresthesia','loss of sensation', 'leg pain']"
430,Complex regional pain syndrome,"['loss of sensation', 'back pain', 'abnormal involuntary movements', 'leg pain', 'arm pain', 'paresthesia','hand or finger pain', 'ache all over']"
431,Amyotrophic lateral sclerosis ALS,"['weakness', 'leg pain', 'leg weakness', 'fatigue','leg cramps or spasms', 'difficulty in swallowing']"
432,Amyotrophic lateral sclerosis ALS,"['leg cramps or spasms', 'difficulty speaking', 'back pain', 'abnormal involuntary movements', 'leg weakness','weakness', 'muscle weakness']"
433,Amyotrophic lateral sclerosis ALS,"['problems with movement', 'fatigue', 'abnormal involuntary movements', 'difficulty speaking','leg pain', 'weakness']"
434,Amyotrophic lateral sclerosis ALS,"['fatigue', 'weakness', 'abnormal involuntary movements', 'leg cramps or spasms', 'muscle weakness', 'problems with movement','back pain', 'difficulty speaking']"
435,Amyotrophic lateral sclerosis ALS,"['abnormal involuntary movements', 'difficulty speaking', 'difficulty in swallowing', 'hand or finger weakness', 'weakness', 'back pain','leg weakness', 'problems with movement']"
436,Amyotrophic lateral sclerosis ALS,"['weakness', 'abnormal involuntary movements', 'fatigue', 'back pain', 'difficulty in swallowing', 'leg pain','difficulty speaking', 'muscle weakness']"
437,Amyotrophic lateral sclerosis ALS,"['muscle weakness', 'weakness', 'difficulty speaking', 'hand or finger weakness', 'fatigue', 'leg cramps or spasms','problems with movement', 'back pain']"
438,Amyotrophic lateral sclerosis ALS,"['weakness', 'hand or finger weakness', 'back pain', 'leg cramps or spasms', 'difficulty speaking','fatigue', 'muscle weakness']"
440,Amyotrophic lateral sclerosis ALS,"['leg cramps or spasms', 'fatigue', 'muscle weakness', 'hand or finger weakness','problems with movement', 'weakness']"
441,Amyotrophic lateral sclerosis ALS,"['muscle weakness', 'back pain', 'difficulty in swallowing', 'abnormal involuntary movements', 'problems with movement','weakness', 'leg weakness']"
443,Amyotrophic lateral sclerosis ALS,"['leg weakness', 'abnormal involuntary movements', 'leg cramps or spasms', 'weakness', 'difficulty in swallowing', 'problems with movement','hand or finger weakness', 'back pain']"
444,Encephalitis,"['loss of sensation', 'paresthesia', 'headache', 'joint pain','leg weakness', 'fatigue']"
445,Encephalitis,"['leg weakness', 'loss of sensation', 'fatigue', 'dizziness', 'seizures','headache', 'paresthesia']"
446,Encephalitis,"['loss of sensation', 'joint pain', 'dizziness', 'seizures','paresthesia', 'headache']"
450,Encephalitis,"['joint pain', 'headache', 'dizziness', 'leg weakness', 'paresthesia', 'seizures','leg pain', 'loss of sensation']"
451,Encephalitis,"['dizziness', 'disturbance of memory', 'fatigue', 'problems with movement', 'headache', 'leg pain','loss of sensation', 'seizures']"
452,Encephalitis,"['headache', 'dizziness', 'joint pain', 'leg pain', 'fatigue', 'disturbance of memory','seizures', 'insomnia']"
453,Encephalitis,"['insomnia', 'headache', 'loss of sensation', 'disturbance of memory', 'joint pain', 'leg weakness','seizures', 'fatigue']"
454,Encephalitis,"['headache', 'disturbance of memory', 'leg pain', 'leg weakness', 'loss of sensation','joint pain', 'paresthesia']"
455,Encephalitis,"['leg weakness', 'joint pain', 'insomnia', 'disturbance of memory','seizures', 'headache']"
456,Encephalitis,"['insomnia', 'leg pain', 'dizziness', 'fatigue', 'seizures','headache', 'loss of sensation']"
457,Encephalitis,"['headache', 'dizziness', 'leg weakness', 'loss of sensation', 'fatigue', 'leg pain','seizures', 'disturbance of memory']"
459,Carpal tunnel syndrome,"['hand or finger pain', 'elbow pain', 'loss of sensation', 'hand or finger swelling','wrist swelling', 'arm pain']"
461,Carpal tunnel syndrome,"['hand or finger swelling', 'hand or finger pain', 'arm pain', 'paresthesia', 'wrist pain','loss of sensation', 'hand or finger weakness']"
462,Carpal tunnel syndrome,"['paresthesia', 'hand or finger stiffness or tightness', 'wrist pain', 'hand or finger pain','hand or finger weakness', 'loss of sensation']"
463,Carpal tunnel syndrome,"['hand or finger stiffness or tightness', 'loss of sensation', 'paresthesia', 'hand or finger swelling', 'hand or finger weakness', 'wrist pain','arm pain', 'hand or finger pain']"
464,Carpal tunnel syndrome,"['hand or finger pain', 'elbow pain', 'arm pain', 'neck pain', 'loss of sensation', 'paresthesia','hand or finger weakness', 'wrist pain']"
465,Carpal tunnel syndrome,"['loss of sensation', 'wrist pain', 'hand or finger stiffness or tightness', 'paresthesia', 'hand or finger weakness', 'arm pain','hand or finger pain', 'elbow pain']"
466,Carpal tunnel syndrome,"['hand or finger weakness', 'loss of sensation', 'hand or finger pain', 'neck pain', 'wrist swelling', 'arm weakness','wrist pain', 'arm pain']"
467,Carpal tunnel syndrome,"['loss of sensation', 'arm pain', 'paresthesia', 'arm weakness', 'hand or finger pain','wrist swelling', 'neck pain']"
468,Carpal tunnel syndrome,"['arm weakness', 'wrist swelling', 'hand or finger weakness', 'neck pain','wrist pain', 'loss of sensation']"
469,Carpal tunnel syndrome,"['hand or finger stiffness or tightness', 'paresthesia', 'neck pain', 'arm pain', 'wrist pain','loss of sensation', 'hand or finger pain']"
470,Carpal tunnel syndrome,"['loss of sensation', 'wrist pain', 'arm weakness', 'hand or finger pain', 'arm pain', 'paresthesia','elbow pain', 'neck pain']"
471,Extrapyramidal effect of drugs,"['seizures', 'delusions or hallucinations', 'abnormal involuntary movements', 'neck stiffness or tightness','arm stiffness or tightness', 'problems with movement']"
472,Extrapyramidal effect of drugs,"['neck stiffness or tightness', 'seizures', 'cramps and spasms', 'nausea', 'anxiety and nervousness','abnormal involuntary movements', 'delusions or hallucinations']"
473,Extrapyramidal effect of drugs,"['seizures', 'neck stiffness or tightness', 'disturbance of memory', 'anxiety and nervousness','delusions or hallucinations', 'abnormal involuntary movements']"
474,Extrapyramidal effect of drugs,"['restlessness', 'abnormal involuntary movements', 'nausea', 'neck stiffness or tightness', 'delusions or hallucinations', 'disturbance of memory','cramps and spasms', 'anxiety and nervousness']"
475,Extrapyramidal effect of drugs,"['disturbance of memory', 'problems with movement', 'cramps and spasms', 'headache', 'abnormal involuntary movements', 'nausea','seizures', 'anxiety and nervousness']"
476,Extrapyramidal effect of drugs,"['abnormal involuntary movements', 'disturbance of memory', 'neck stiffness or tightness', 'nausea', 'problems with movement', 'headache','seizures', 'restlessness']"
477,Extrapyramidal effect of drugs,"['restlessness', 'abnormal involuntary movements', 'seizures', 'headache', 'neck stiffness or tightness', 'arm stiffness or tightness','anxiety and nervousness', 'cramps and spasms']"
478,Extrapyramidal effect of drugs,"['abnormal involuntary movements', 'problems with movement', 'cramps and spasms', 'arm stiffness or tightness', 'seizures','neck stiffness or tightness', 'restlessness']"
480,Extrapyramidal effect of drugs,"['arm stiffness or tightness', 'neck stiffness or tightness', 'restlessness', 'headache','anxiety and nervousness', 'abnormal involuntary movements']"
481,Extrapyramidal effect of drugs,"['restlessness', 'nausea', 'problems with movement', 'cramps and spasms', 'disturbance of memory','abnormal involuntary movements', 'seizures']"
482,Extrapyramidal effect of drugs,"['abnormal involuntary movements', 'nausea', 'neck stiffness or tightness', 'seizures', 'problems with movement', 'disturbance of memory','headache', 'cramps and spasms']"
483,Essential tremor,"['problems with movement', 'muscle pain', 'abnormal involuntary movements', 'hoarse voice','fears and phobias', 'seizures']"
484,Essential tremor,"['hoarse voice', 'abnormal involuntary movements', 'seizures', 'dizziness', 'headache','problems with movement', 'muscle pain']"
485,Essential tremor,"['problems with movement', 'arm stiffness or tightness', 'headache', 'dizziness','muscle pain', 'abnormal involuntary movements']"
486,Essential tremor,"['hoarse voice', 'abnormal involuntary movements', 'headache', 'arm stiffness or tightness', 'disturbance of memory', 'dizziness','seizures', 'problems with movement']"
487,Essential tremor,"['dizziness', 'muscle pain', 'abnormal involuntary movements', 'loss of sensation', 'seizures', 'headache','disturbance of memory', 'problems with movement']"
488,Essential tremor,"['problems with movement', 'headache', 'painful sinuses', 'dizziness', 'disturbance of memory', 'loss of sensation','abnormal involuntary movements', 'arm stiffness or tightness']"
489,Essential tremor,"['muscle pain', 'abnormal involuntary movements', 'headache', 'loss of sensation', 'hoarse voice', 'fears and phobias','problems with movement', 'seizures']"
490,Essential tremor,"['abnormal involuntary movements', 'loss of sensation', 'dizziness', 'fears and phobias', 'problems with movement','hoarse voice', 'disturbance of memory']"
491,Essential tremor,"['fears and phobias', 'hoarse voice', 'muscle pain', 'loss of sensation','problems with movement', 'abnormal involuntary movements']"
492,Essential tremor,"['painful sinuses', 'headache', 'loss of sensation', 'seizures', 'dizziness','abnormal involuntary movements', 'problems with movement']"
493,Essential tremor,"['abnormal involuntary movements', 'dizziness', 'hoarse voice', 'problems with movement', 'seizures', 'headache','loss of sensation', 'disturbance of memory']"
494,Alzheimer disease,"['depressive or psychotic symptoms', 'restlessness', 'disturbance of memory', 'fears and phobias','eye burns or stings', 'problems with movement']"
495,Alzheimer disease,"['fears and phobias', 'disturbance of memory', 'hostile behavior', 'depression', 'problems with movement','depressive or psychotic symptoms', 'restlessness']"
496,Alzheimer disease,"['problems with movement', 'irregular appearing scalp', 'depressive or psychotic symptoms', 'depression','difficulty speaking', 'disturbance of memory']"
497,Alzheimer disease,"['fears and phobias', 'disturbance of memory', 'depressive or psychotic symptoms', 'irregular appearing scalp', 'delusions or hallucinations', 'hostile behavior','problems with movement', 'depression']"
498,Alzheimer disease,"['disturbance of memory', 'restlessness', 'delusions or hallucinations', 'difficulty speaking', 'problems with movement', 'depression','hostile behavior', 'depressive or psychotic symptoms']"
499,Alzheimer disease,"['problems with movement', 'depressive or psychotic symptoms', 'restlessness', 'depression', 'difficulty speaking', 'hostile behavior','disturbance of memory', 'fears and phobias']"
500,Alzheimer disease,"['difficulty speaking', 'disturbance of memory', 'depression', 'hostile behavior', 'muscle cramps, contractures, or spasms', 'eye burns or stings','depressive or psychotic symptoms', 'delusions or hallucinations']"
501,Alzheimer disease,"['disturbance of memory', 'hostile behavior', 'problems with movement', 'muscle cramps, contractures, or spasms', 'depressive or psychotic symptoms','eye burns or stings', 'delusions or hallucinations']"
502,Alzheimer disease,"['eye burns or stings', 'muscle cramps, contractures, or spasms', 'difficulty speaking', 'hostile behavior','depressive or psychotic symptoms', 'disturbance of memory']"
503,Alzheimer disease,"['irregular appearing scalp', 'depression', 'delusions or hallucinations', 'hostile behavior', 'problems with movement','disturbance of memory', 'depressive or psychotic symptoms']"
504,Alzheimer disease,"['disturbance of memory', 'depression', 'muscle cramps, contractures, or spasms', 'depressive or psychotic symptoms', 'problems with movement', 'hostile behavior','delusions or hallucinations', 'difficulty speaking']"
505,Conjunctivitis due to allergy,"['eye redness', 'diminished vision', 'itchiness of eye', 'cough','sneezing', 'swollen eye']"
508,Conjunctivitis due to allergy,"['cough', 'itchiness of eye', 'swollen eye', 'lacrimation', 'pain in eye','eye redness', 'diminished vision']"
509,Conjunctivitis due to allergy,"['itchiness of eye', 'cough', 'lacrimation', 'pain in eye','diminished vision', 'eye redness']"
510,Conjunctivitis due to allergy,"['allergic reaction', 'eye redness', 'nasal congestion', 'cough', 'diminished vision', 'pain in eye','lacrimation', 'itchiness of eye']"
511,Conjunctivitis due to allergy,"['pain in eye', 'eye burns or stings', 'swollen eye', 'symptoms of eye', 'eye redness', 'nasal congestion','itchiness of eye', 'lacrimation']"
512,Conjunctivitis due to allergy,"['eye redness', 'lacrimation', 'cough', 'nasal congestion', 'eye burns or stings', 'symptoms of eye','pain in eye', 'allergic reaction']"
513,Conjunctivitis due to allergy,"['allergic reaction', 'eye redness', 'itchiness of eye', 'symptoms of eye', 'cough', 'sneezing','pain in eye', 'swollen eye']"
514,Conjunctivitis due to allergy,"['eye redness', 'eye burns or stings', 'nasal congestion', 'sneezing', 'itchiness of eye','cough', 'diminished vision']"
515,Conjunctivitis due to allergy,"['sneezing', 'cough', 'allergic reaction', 'symptoms of eye','pain in eye', 'eye redness']"
516,Conjunctivitis due to allergy,"['allergic reaction', 'nasal congestion', 'lacrimation', 'swollen eye', 'pain in eye','eye redness', 'itchiness of eye']"
517,Conjunctivitis due to allergy,"['itchiness of eye', 'lacrimation', 'cough', 'eye redness', 'swollen eye', 'nasal congestion','pain in eye', 'eye burns or stings']"
518,Ectropion,"['lacrimation', 'swollen eye', 'pain in eye', 'white discharge from eye','itchiness of eye', 'spots or clouds in vision']"
520,Ectropion,"['itchiness of eye', 'pain in eye', 'spots or clouds in vision', 'symptoms of eye', 'abnormal movement of eyelid','lacrimation', 'diminished vision']"
521,Ectropion,"['pain in eye', 'white discharge from eye', 'symptoms of eye', 'abnormal movement of eyelid','diminished vision', 'lacrimation']"
522,Ectropion,"['white discharge from eye', 'lacrimation', 'eye redness', 'itchiness of eye', 'diminished vision', 'spots or clouds in vision','symptoms of eye', 'abnormal movement of eyelid']"
523,Ectropion,"['spots or clouds in vision', 'abnormal movement of eyelid', 'eyelid lesion or rash', 'foreign body sensation in eye', 'lacrimation', 'eye redness','pain in eye', 'symptoms of eye']"
525,Ectropion,"['lacrimation', 'symptoms of eye', 'white discharge from eye', 'spots or clouds in vision', 'eyelid lesion or rash', 'swollen eye','abnormal movement of eyelid', 'diminished vision']"
526,Ectropion,"['diminished vision', 'lacrimation', 'pain in eye', 'foreign body sensation in eye', 'white discharge from eye', 'itchiness of eye','symptoms of eye', 'spots or clouds in vision']"
527,Ectropion,"['lacrimation', 'eyelid lesion or rash', 'eye redness', 'itchiness of eye', 'pain in eye','white discharge from eye', 'diminished vision']"
528,Ectropion,"['itchiness of eye', 'white discharge from eye', 'diminished vision', 'foreign body sensation in eye','symptoms of eye', 'lacrimation']"
530,Ectropion,"['diminished vision', 'eye redness', 'abnormal movement of eyelid', 'spots or clouds in vision', 'symptoms of eye','lacrimation', 'pain in eye']"
531,Ectropion,"['pain in eye', 'symptoms of eye', 'itchiness of eye', 'lacrimation', 'spots or clouds in vision', 'eye redness','foreign body sensation in eye', 'eyelid lesion or rash']"
533,Endophthalmitis,"['eye redness', 'skin lesion', 'pain in eye', 'lacrimation','painful urination', 'itchiness of eye']"
534,Endophthalmitis,"['painful urination', 'eye redness', 'mass on eyelid', 'diminished vision', 'swollen eye','pain in eye', 'foot or toe pain']"
535,Endophthalmitis,"['swollen eye', 'lacrimation', 'diminished vision', 'eye redness','foot or toe pain', 'pain in eye']"
536,Endophthalmitis,"['lacrimation', 'pain in eye', 'diminished vision', 'painful urination', 'foot or toe pain', 'swollen eye','itchiness of eye', 'eye redness']"
537,Endophthalmitis,"['itchiness of eye', 'paresthesia', 'mass on eyelid', 'painful sinuses', 'pain in eye', 'diminished vision','eye redness', 'swollen eye']"
538,Endophthalmitis,"['pain in eye', 'diminished vision', 'lacrimation', 'itchiness of eye', 'paresthesia', 'painful sinuses','eye redness', 'foot or toe pain']"
539,Endophthalmitis,"['foot or toe pain', 'pain in eye', 'eye redness', 'painful sinuses', 'lacrimation', 'painful urination','swollen eye', 'mass on eyelid']"
540,Endophthalmitis,"['pain in eye', 'paresthesia', 'itchiness of eye', 'painful urination', 'eye redness','lacrimation', 'foot or toe pain']"
542,Endophthalmitis,"['painful urination', 'lacrimation', 'foot or toe pain', 'painful sinuses','swollen eye', 'pain in eye']"
543,Endophthalmitis,"['lacrimation', 'diminished vision', 'paresthesia', 'mass on eyelid', 'swollen eye','pain in eye', 'eye redness']"
544,Endophthalmitis,"['pain in eye', 'diminished vision', 'painful urination', 'eye redness', 'itchiness of eye', 'mass on eyelid','swollen eye', 'paresthesia']"
545,Cyst of the eyelid,"['skin growth', 'itchiness of eye', 'mass on eyelid', 'abnormal movement of eyelid','skin rash', 'diminished vision']"
546,Cyst of the eyelid,"['skin rash', 'skin growth', 'diminished vision', 'pain in eye', 'eyelid lesion or rash','mass on eyelid', 'itchiness of eye']"
547,Cyst of the eyelid,"['skin growth', 'skin rash', 'pain in eye', 'eyelid lesion or rash','itchiness of eye', 'mass on eyelid']"
548,Cyst of the eyelid,"['abnormal movement of eyelid', 'mass on eyelid', 'pain in eye', 'skin rash', 'itchiness of eye', 'eyelid lesion or rash','symptoms of eye', 'skin growth']"
549,Cyst of the eyelid,"['eyelid lesion or rash', 'itchiness of eye', 'diminished vision', 'wrinkles on skin', 'mass on eyelid', 'symptoms of eye','skin growth', 'pain in eye']"
550,Cyst of the eyelid,"['mass on eyelid', 'pain in eye', 'skin rash', 'symptoms of eye', 'diminished vision', 'wrinkles on skin','skin growth', 'abnormal movement of eyelid']"
551,Cyst of the eyelid,"['abnormal movement of eyelid', 'mass on eyelid', 'skin growth', 'wrinkles on skin', 'elbow cramps or spasms', 'skin rash','eyelid lesion or rash', 'diminished vision']"
552,Cyst of the eyelid,"['mass on eyelid', 'diminished vision', 'symptoms of eye', 'skin rash', 'skin growth','elbow cramps or spasms', 'itchiness of eye']"
553,Cyst of the eyelid,"['skin rash', 'elbow cramps or spasms', 'abnormal movement of eyelid', 'wrinkles on skin','eyelid lesion or rash', 'mass on eyelid']"
554,Cyst of the eyelid,"['abnormal movement of eyelid', 'symptoms of eye', 'eyelid lesion or rash', 'diminished vision', 'pain in eye','mass on eyelid', 'skin growth']"
555,Cyst of the eyelid,"['mass on eyelid', 'pain in eye', 'skin rash', 'skin growth', 'diminished vision', 'symptoms of eye','eyelid lesion or rash', 'wrinkles on skin']"
556,Chalazion,"['pain in eye', 'itchiness of eye', 'mass on eyelid', 'foreign body sensation in eye','lacrimation', 'eyelid swelling']"
557,Chalazion,"['foreign body sensation in eye', 'pain in eye', 'eyelid swelling', 'eye redness', 'swollen eye','mass on eyelid', 'itchiness of eye']"
558,Chalazion,"['pain in eye', 'foreign body sensation in eye', 'eye redness', 'swollen eye','itchiness of eye', 'mass on eyelid']"
559,Chalazion,"['skin growth', 'mass on eyelid', 'eye redness', 'foreign body sensation in eye', 'itchiness of eye', 'symptoms of eye','eyelid swelling', 'pain in eye']"
560,Chalazion,"['eye redness', 'diminished vision', 'eyelid swelling', 'eyelid lesion or rash', 'mass on eyelid', 'symptoms of eye','pain in eye', 'swollen eye']"
561,Chalazion,"['mass on eyelid', 'eye redness', 'skin growth', 'symptoms of eye', 'diminished vision', 'eyelid lesion or rash','pain in eye', 'itchiness of eye']"
562,Chalazion,"['itchiness of eye', 'mass on eyelid', 'pain in eye', 'eyelid lesion or rash', 'foreign body sensation in eye', 'lacrimation','swollen eye', 'eyelid swelling']"
563,Chalazion,"['mass on eyelid', 'eyelid lesion or rash', 'symptoms of eye', 'lacrimation', 'pain in eye','foreign body sensation in eye', 'itchiness of eye']"
564,Chalazion,"['lacrimation', 'foreign body sensation in eye', 'itchiness of eye', 'eyelid lesion or rash','swollen eye', 'mass on eyelid']"
565,Chalazion,"['skin growth', 'symptoms of eye', 'swollen eye', 'eyelid swelling', 'eye redness','mass on eyelid', 'pain in eye']"
566,Chalazion,"['mass on eyelid', 'eye redness', 'foreign body sensation in eye', 'pain in eye', 'eyelid swelling', 'symptoms of eye','swollen eye', 'eyelid lesion or rash']"
567,Chalazion,"['skin growth', 'diminished vision', 'swollen eye', 'eyelid swelling', 'eye redness', 'symptoms of eye','mass on eyelid', 'itchiness of eye']"
568,Corneal disorder,"['pain in eye', 'itchiness of eye', 'diminished vision', 'swollen eye','eyelid lesion or rash', 'symptoms of eye']"
570,Corneal disorder,"['swollen eye', 'pain in eye', 'symptoms of eye', 'spots or clouds in vision', 'eye redness','diminished vision', 'itchiness of eye']"
571,Corneal disorder,"['spots or clouds in vision', 'swollen eye', 'eye redness', 'pain in eye','itchiness of eye', 'diminished vision']"
572,Corneal disorder,"['white discharge from eye', 'diminished vision', 'eye redness', 'swollen eye', 'itchiness of eye', 'spots or clouds in vision','symptoms of eye', 'pain in eye']"
573,Corneal disorder,"['pain in eye', 'itchiness of eye', 'symptoms of eye', 'lacrimation', 'diminished vision', 'spots or clouds in vision','foreign body sensation in eye', 'eye redness']"
574,Corneal disorder,"['diminished vision', 'eye redness', 'white discharge from eye', 'spots or clouds in vision', 'lacrimation', 'foreign body sensation in eye','pain in eye', 'itchiness of eye']"
575,Corneal disorder,"['itchiness of eye', 'diminished vision', 'pain in eye', 'foreign body sensation in eye', 'double vision', 'eyelid lesion or rash','eye redness', 'symptoms of eye']"
576,Corneal disorder,"['diminished vision', 'foreign body sensation in eye', 'symptoms of eye', 'eyelid lesion or rash', 'pain in eye','double vision', 'itchiness of eye']"
577,Corneal disorder,"['eyelid lesion or rash', 'double vision', 'itchiness of eye', 'foreign body sensation in eye','eye redness', 'diminished vision']"
578,Corneal disorder,"['white discharge from eye', 'spots or clouds in vision', 'symptoms of eye', 'foreign body sensation in eye', 'eye redness','diminished vision', 'pain in eye']"
579,Corneal disorder,"['diminished vision', 'spots or clouds in vision', 'swollen eye', 'pain in eye', 'symptoms of eye', 'eye redness','foreign body sensation in eye', 'lacrimation']"
580,Conductive hearing loss,"['ear pain', 'difficulty speaking', 'diminished hearing', 'hoarse voice','swollen or red tonsils', 'ringing in ear']"
581,Conductive hearing loss,"['hoarse voice', 'diminished hearing', 'ringing in ear', 'redness in ear', 'plugged feeling in ear','ear pain', 'fluid in ear']"
582,Conductive hearing loss,"['ear pain', 'lack of growth', 'plugged feeling in ear', 'redness in ear','fluid in ear', 'diminished hearing']"
583,Conductive hearing loss,"['lack of growth', 'diminished hearing', 'plugged feeling in ear', 'hoarse voice', 'fluid in ear', 'redness in ear','ringing in ear', 'ear pain']"
584,Conductive hearing loss,"['plugged feeling in ear', 'difficulty speaking', 'ringing in ear', 'dizziness', 'diminished hearing', 'redness in ear','fluid in ear', 'ear pain']"
585,Conductive hearing loss,"['diminished hearing', 'plugged feeling in ear', 'difficulty speaking', 'redness in ear', 'ringing in ear', 'dizziness','ear pain', 'fluid in ear']"
586,Conductive hearing loss,"['fluid in ear', 'diminished hearing', 'plugged feeling in ear', 'dizziness', 'low self-esteem', 'swollen or red tonsils','ear pain', 'ringing in ear']"
587,Conductive hearing loss,"['diminished hearing', 'ringing in ear', 'redness in ear', 'swollen or red tonsils', 'ear pain','low self-esteem', 'fluid in ear']"
588,Conductive hearing loss,"['swollen or red tonsils', 'low self-esteem', 'fluid in ear', 'dizziness','ear pain', 'diminished hearing']"
589,Conductive hearing loss,"['difficulty speaking', 'plugged feeling in ear', 'dizziness', 'ringing in ear', 'redness in ear','diminished hearing', 'ear pain']"
590,Conductive hearing loss,"['diminished hearing', 'redness in ear', 'swollen or red tonsils', 'ear pain', 'ringing in ear', 'plugged feeling in ear','fluid in ear', 'dizziness']"
591,Central retinal artery or vein occlusion,"['blindness', 'diminished vision', 'eye deviation','double vision', 'symptoms of eye']"
592,Central retinal artery or vein occlusion,"['spots or clouds in vision', 'symptoms of eye', 'irregular heartbeat', 'blindness','diminished vision', 'double vision']"
593,Central retinal artery or vein occlusion,"['spots or clouds in vision', 'diminished vision', 'irregular heartbeat','blindness', 'pain in eye']"
594,Central retinal artery or vein occlusion,"['irregular heartbeat', 'spots or clouds in vision', 'blindness', 'diminished vision', 'symptoms of eye','double vision', 'pain in eye']"
596,Central retinal artery or vein occlusion,"['blindness', 'symptoms of eye', 'pain in eye', 'diminished vision', 'foreign body sensation in eye','spots or clouds in vision', 'eye deviation']"
597,Central retinal artery or vein occlusion,"['eye deviation', 'spots or clouds in vision', 'blindness', 'symptoms of eye', 'elbow pain','diminished vision', 'pain in eye']"
598,Central retinal artery or vein occlusion,"['eye deviation', 'diminished vision', 'blindness', 'spots or clouds in vision','symptoms of eye', 'foreign body sensation in eye']"
599,Central retinal artery or vein occlusion,"['symptoms of eye', 'diminished vision', 'pain in eye','blindness', 'spots or clouds in vision']"
600,Central retinal artery or vein occlusion,"['eye deviation', 'diminished vision', 'blindness','pain in eye', 'spots or clouds in vision']"
602,Central retinal artery or vein occlusion,"['blindness', 'diminished vision', 'elbow pain', 'foreign body sensation in eye','symptoms of eye', 'spots or clouds in vision']"
603,Central retinal artery or vein occlusion,"['pain in eye', 'diminished vision', 'blindness', 'foreign body sensation in eye', 'symptoms of eye','irregular heartbeat', 'spots or clouds in vision']"
604,Acute glaucoma,"['pain in eye', 'blindness', 'diminished vision', 'double vision','eye burns or stings', 'spots or clouds in vision']"
605,Acute glaucoma,"['double vision', 'diminished vision', 'spots or clouds in vision', 'eye redness', 'symptoms of eye','pain in eye', 'blindness']"
606,Acute glaucoma,"['eye redness', 'lacrimation', 'symptoms of eye', 'pain in eye','blindness', 'diminished vision']"
608,Acute glaucoma,"['lacrimation', 'diminished vision', 'symptoms of eye', 'double vision', 'itchiness of eye', 'eye redness','spots or clouds in vision', 'pain in eye']"
609,Acute glaucoma,"['pain in eye', 'blindness', 'spots or clouds in vision', 'foreign body sensation in eye', 'diminished vision', 'eye redness','itchiness of eye', 'symptoms of eye']"
610,Acute glaucoma,"['lacrimation', 'symptoms of eye', 'pain in eye', 'spots or clouds in vision', 'itchiness of eye','diminished vision', 'eye redness']"
611,Acute glaucoma,"['pain in eye', 'blindness', 'diminished vision', 'symptoms of eye', 'eye redness','itchiness of eye', 'spots or clouds in vision']"
612,Acute glaucoma,"['eye redness', 'pain in eye', 'spots or clouds in vision', 'itchiness of eye','diminished vision', 'blindness']"
613,Acute glaucoma,"['eye burns or stings', 'double vision', 'itchiness of eye', 'foreign body sensation in eye','pain in eye', 'diminished vision']"
614,Acute glaucoma,"['pain in eye', 'diminished vision', 'itchiness of eye', 'foreign body sensation in eye','spots or clouds in vision', 'eye redness']"
615,Acute glaucoma,"['diminished vision', 'symptoms of eye', 'double vision', 'pain in eye', 'spots or clouds in vision', 'eye redness','foreign body sensation in eye', 'itchiness of eye']"
616,Aphakia,"['diminished vision', 'symptoms of eye','mass on eyelid', 'itchiness of eye']"
620,Aphakia,"['spots or clouds in vision', 'symptoms of eye', 'diminished vision','eye redness', 'pain in eye']"
621,Aphakia,"['diminished vision', 'spots or clouds in vision','mass on eyelid', 'pain in eye']"
622,Aphakia,"['eye redness', 'itchiness of eye', 'symptoms of eye', 'eye burns or stings','diminished vision', 'pain in eye']"
623,Aphakia,"['eye redness', 'pain in eye', 'diminished vision', 'eye burns or stings','spots or clouds in vision', 'mass on eyelid']"
624,Aphakia,"['pain in eye', 'eye burns or stings', 'mass on eyelid','diminished vision', 'itchiness of eye']"
625,Aphakia,"['spots or clouds in vision', 'diminished vision', 'eye redness','pain in eye', 'itchiness of eye']"
626,Aphakia,"['eye burns or stings', 'diminished vision','symptoms of eye', 'pain in eye']"
627,Aphakia,"['itchiness of eye', 'symptoms of eye','eye redness', 'pain in eye']"
628,Aphakia,"['pain in eye', 'diminished vision','eye redness', 'symptoms of eye']"
629,Aphakia,"['spots or clouds in vision', 'mass on eyelid', 'diminished vision','eye redness', 'eye burns or stings']"
630,Erythema multiforme,"['fever', 'pain in eye', 'skin rash', 'allergic reaction','difficulty in swallowing', 'vomiting']"
631,Erythema multiforme,"['difficulty in swallowing', 'fever', 'vomiting', 'coryza', 'itching of skin','skin rash', 'pain in eye']"
632,Erythema multiforme,"['fever', 'allergic reaction', 'coryza', 'itching of skin','pain in eye', 'skin rash']"
633,Erythema multiforme,"['allergic reaction', 'skin rash', 'coryza', 'difficulty in swallowing', 'pain in eye', 'skin lesion','vomiting', 'fever']"
634,Erythema multiforme,"['coryza', 'skin pain', 'vomiting', 'mouth ulcer', 'skin rash', 'skin lesion','fever', 'itching of skin']"
636,Erythema multiforme,"['skin rash', 'coryza', 'allergic reaction', 'skin lesion', 'skin pain', 'mouth ulcer','fever', 'fluid retention']"
637,Erythema multiforme,"['fluid retention', 'skin rash', 'fever', 'mouth ulcer', 'allergic reaction', 'difficulty in swallowing','itching of skin', 'vomiting']"
